timestamp,open,high,low,close,volume
1772042400,68674.20000000,69550.00000000,68373.33000000,69328.07000000,2105.00773000
1772046000,69328.06000000,69406.93000000,68764.94000000,69038.26000000,1672.83962000
1772049600,69038.26000000,69374.95000000,68619.22000000,69148.69000000,1076.93003000
1772053200,69148.69000000,69988.83000000,68773.83000000,68919.72000000,1562.11950000
1772056800,68919.72000000,69176.00000000,68055.91000000,68432.13000000,1092.88431000
1772060400,68432.13000000,68696.97000000,67600.00000000,67988.04000000,1020.21792000
1772064000,67988.04000000,68539.17000000,67727.52000000,68335.99000000,1134.56842000
1772067600,68335.99000000,68700.00000000,68210.35000000,68248.30000000,619.19035000
1772071200,68248.30000000,68351.00000000,67779.93000000,68257.45000000,833.19410000
1772074800,68257.46000000,68379.59000000,68044.18000000,68216.86000000,408.51743000
1772078400,68216.87000000,68860.00000000,68179.62000000,68571.36000000,587.55874000
1772082000,68571.36000000,68571.37000000,68127.58000000,68443.81000000,486.81983000
1772085600,68443.82000000,68522.00000000,68042.90000000,68176.75000000,618.63359000
1772089200,68176.75000000,68290.18000000,67817.87000000,67825.04000000,840.14406000
1772092800,67825.05000000,68236.00000000,67792.00000000,67954.01000000,761.69108000
1772096400,67954.00000000,68644.59000000,67933.25000000,68589.41000000,1095.31619000
1772100000,68589.41000000,68722.64000000,68257.64000000,68301.62000000,688.66072000
1772103600,68301.61000000,68404.25000000,67965.46000000,68051.31000000,722.94931000
1772107200,68051.30000000,68303.83000000,68009.88000000,68171.56000000,642.07881000
1772110800,68171.55000000,68213.98000000,67848.69000000,67905.35000000,698.96783000
1772114400,67905.34000000,68272.21000000,67264.22000000,67697.74000000,1769.26733000
1772118000,67696.89000000,67743.36000000,66761.16000000,67382.00000000,2095.88140000
1772121600,67382.00000000,67566.85000000,66500.00000000,66643.55000000,2050.20093000
1772125200,66643.56000000,67044.10000000,66600.46000000,66826.80000000,885.82755000
1772128800,66826.80000000,67373.90000000,66575.73000000,67310.53000000,1058.47196000
1772132400,67310.53000000,67903.12000000,67285.99000000,67589.22000000,1235.95013000
1772136000,67589.21000000,67831.11000000,67269.42000000,67414.07000000,597.88987000
1772139600,67414.07000000,67575.97000000,67150.14000000,67463.65000000,299.84732000
1772143200,67463.65000000,67630.22000000,67301.75000000,67572.30000000,291.63360000
1772146800,67572.30000000,67656.11000000,67390.65000000,67485.18000000,314.51737000
1772150400,67485.19000000,67537.84000000,67000.00000000,67226.50000000,462.91030000
1772154000,67226.50000000,67398.86000000,66885.00000000,67352.26000000,818.15438000
1772157600,67352.26000000,67546.15000000,67263.56000000,67266.58000000,463.09611000
1772161200,67266.58000000,67712.16000000,67099.71000000,67600.84000000,415.67371000
1772164800,67600.84000000,68216.80000000,67578.67000000,67747.49000000,1318.53811000
1772168400,67747.49000000,67924.00000000,67683.30000000,67724.99000000,411.56603000
1772172000,67725.00000000,67823.90000000,67525.46000000,67658.14000000,398.60368000
